date,new_cases,new_deaths,new_tests,month,total_cases,total_tests,total_deaths,location,continent,population,life_expectancy,hospital_beds_per_thousand,gdp_per_capita,cases_per_mill,deaths_per_mill,tests_per_mill
2019-12-31,0.0,0.0,,12,0.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0,0.0,
2020-01-01,0.0,0.0,,1,0.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0,0.0,
2020-01-02,0.0,0.0,,1,0.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0,0.0,
2020-01-03,0.0,0.0,,1,0.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0,0.0,
2020-01-04,0.0,0.0,,1,0.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0,0.0,
2020-01-05,0.0,0.0,,1,0.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0,0.0,
2020-01-06,0.0,0.0,,1,0.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0,0.0,
2020-01-07,0.0,0.0,,1,0.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0,0.0,
2020-01-08,0.0,0.0,,1,0.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0,0.0,
2020-01-09,0.0,0.0,,1,0.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0,0.0,
2020-01-10,0.0,0.0,,1,0.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0,0.0,
2020-01-11,0.0,0.0,,1,0.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0,0.0,
2020-01-12,0.0,0.0,,1,0.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0,0.0,
2020-01-13,0.0,0.0,,1,0.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0,0.0,
2020-01-14,0.0,0.0,,1,0.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0,0.0,
2020-01-15,0.0,0.0,,1,0.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0,0.0,
2020-01-16,0.0,0.0,,1,0.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0,0.0,
2020-01-17,0.0,0.0,,1,0.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0,0.0,
2020-01-18,0.0,0.0,,1,0.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0,0.0,
2020-01-19,0.0,0.0,,1,0.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0,0.0,
2020-01-20,0.0,0.0,,1,0.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0,0.0,
2020-01-21,0.0,0.0,,1,0.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0,0.0,
2020-01-22,0.0,0.0,,1,0.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0,0.0,
2020-01-23,0.0,0.0,,1,0.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0,0.0,
2020-01-24,0.0,0.0,,1,0.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0,0.0,
2020-01-25,0.0,0.0,,1,0.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0,0.0,
2020-01-26,0.0,0.0,,1,0.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0,0.0,
2020-01-27,0.0,0.0,,1,0.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0,0.0,
2020-01-28,0.0,0.0,,1,0.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0,0.0,
2020-01-29,0.0,0.0,,1,0.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0,0.0,
2020-01-30,0.0,0.0,,1,0.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0,0.0,
2020-01-31,3.0,0.0,,1,3.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.04961808299940915,0.0,
2020-02-01,0.0,0.0,,2,3.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.04961808299940915,0.0,
2020-02-02,0.0,0.0,,2,3.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.04961808299940915,0.0,
2020-02-03,0.0,0.0,,2,3.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.04961808299940915,0.0,
2020-02-04,0.0,0.0,,2,3.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.04961808299940915,0.0,
2020-02-05,0.0,0.0,,2,3.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.04961808299940915,0.0,
2020-02-06,0.0,0.0,,2,3.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.04961808299940915,0.0,
2020-02-07,0.0,0.0,,2,3.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.04961808299940915,0.0,
2020-02-08,0.0,0.0,,2,3.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.04961808299940915,0.0,
2020-02-09,0.0,0.0,,2,3.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.04961808299940915,0.0,
2020-02-10,0.0,0.0,,2,3.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.04961808299940915,0.0,
2020-02-11,0.0,0.0,,2,3.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.04961808299940915,0.0,
2020-02-12,0.0,0.0,,2,3.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.04961808299940915,0.0,
2020-02-13,0.0,0.0,,2,3.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.04961808299940915,0.0,
2020-02-14,0.0,0.0,,2,3.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.04961808299940915,0.0,
2020-02-15,0.0,0.0,,2,3.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.04961808299940915,0.0,
2020-02-16,0.0,0.0,,2,3.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.04961808299940915,0.0,
2020-02-17,0.0,0.0,,2,3.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.04961808299940915,0.0,
2020-02-18,0.0,0.0,,2,3.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.04961808299940915,0.0,
2020-02-19,0.0,0.0,,2,3.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.04961808299940915,0.0,
2020-02-20,0.0,0.0,,2,3.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.04961808299940915,0.0,
2020-02-21,0.0,0.0,,2,3.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.04961808299940915,0.0,
2020-02-22,14.0,0.0,,2,17.0,,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.28116913699665186,0.0,
2020-02-23,62.0,2.0,,2,79.0,,2.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,1.3066095189844409,0.0330787219996061,
2020-02-24,53.0,0.0,,2,132.0,,2.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,2.1831956519740023,0.0330787219996061,
2020-02-25,97.0,4.0,,2,229.0,,6.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,3.7875136689548983,0.0992361659988183,
